startTime, stopTime, KP name, comment
2024-11-26 12:00:00,2024-11-26 15:00:00, RP4C FRB Chime,Cleanup planning J-6
2024-11-26 15:00:00,2024-11-26 20:00:00,ES00 Debug,Tests 4G
2024-11-26 20:00:00,2024-11-26 21:53:00,LT02 Exoplanets and stars,Cleanup planning J-6
2024-11-26 21:53:00,2024-11-26 22:10:00,LT02 Exoplanets and stars,Cleanup planning J-6
2024-11-26 22:10:00,2024-11-27 00:00:00,LT02 Exoplanets and stars,Cleanup planning J-6
2024-11-27 00:00:00,2024-11-27 06:00:00, RP4C FRB Chime,Cleanup planning J-6
2024-11-27 00:00:00,2024-11-27 06:00:00, RP4C FRB Chime,NenuFAR booking
2024-11-27 06:00:00,2024-11-27 10:00:00,LT05 Fast Radio Bursts,NenuFAR booking
2024-11-27 10:00:00,2024-11-27 11:00:00,LT02 Exoplanets and stars,KP booking
2024-11-27 11:00:00,2024-11-27 11:48:00,LT02 Exoplanets and stars,KP booking
2024-11-27 11:48:00,2024-11-27 12:00:00,LT02 Exoplanets and stars,KP booking
2024-11-27 12:00:00,2024-11-27 15:00:00, RP4C FRB Chime,NenuFAR booking
2024-11-27 15:00:00,2024-11-27 20:00:00,LT02 Exoplanets and stars,KP booking
2024-11-27 20:00:00,2024-11-28 00:00:00,LT02 Exoplanets and stars,NenuFAR booking
2024-11-28 00:00:00,2024-11-28 05:00:00, RP4C FRB Chime,NenuFAR booking
2024-11-28 05:00:00,2024-11-28 07:00:00,LT03 Pulsars,NenuFAR booking
2024-11-28 07:00:00,2024-11-28 10:00:00,LT05 Fast Radio Bursts,NenuFAR booking
2024-11-28 10:00:00,2024-11-28 10:56:00,LT02 Exoplanets and stars,KP booking
2024-11-28 10:56:00,2024-11-28 11:44:00,LT02 Exoplanets and stars,KP booking
2024-11-28 11:44:00,2024-11-28 11:56:00,LT02 Exoplanets and stars,KP booking
2024-11-28 12:00:00,2024-11-28 15:00:00, RP4C FRB Chime,NenuFAR booking
2024-11-28 15:00:00,2024-11-28 21:00:00,LT02 Exoplanets and stars,KP booking
2024-11-28 21:00:00,2024-11-29 06:00:00,LT03 Pulsars,NenuFAR booking
2024-11-29 06:00:00,2024-11-29 08:00:00,LT13 SETI,NenuFAR booking
2024-11-29 08:00:00,2024-11-29 10:00:00,LT02 Exoplanets and stars,KP booking
2024-11-29 10:00:00,2024-11-29 14:00:00,LT03 Pulsars,NenuFAR booking
