startTime,stopTime,KP name,comment
2024-12-01 17:00:00,2024-12-02 00:00:00,LT02 Exoplanets and stars,NenuFAR booking
2024-12-03 17:00:00,2024-12-04 00:00:00,LT02 Exoplanets and stars,NenuFAR booking
2024-12-05 16:55:00,2024-12-05 19:00:00,LT02 Exoplanets and stars,NenuFAR booking
2024-12-05 22:00:00,2024-12-06 00:00:00,LT02 Exoplanets and stars,NenuFAR booking
2024-12-07 17:00:00,2024-12-07 19:00:00,LT02 Exoplanets and stars,NenuFAR booking
2024-12-08 18:00:00,2024-12-08 20:00:00,LT02 Exoplanets and stars,NenuFAR booking
2024-12-09 18:00:00,2024-12-10 00:00:00,LT02 Exoplanets and stars,NenuFAR booking
2024-12-10 18:00:00,2024-12-10 20:00:00,LT02 Exoplanets and stars,NenuFAR booking
2024-12-11 18:00:00,2024-12-12 00:00:00,LT02 Exoplanets and stars,NenuFAR booking
2024-12-13 18:00:00,2024-12-13 21:00:00,LT02 Exoplanets and stars,NenuFAR booking
2024-12-14 18:00:00,2024-12-14 20:00:00,LT02 Exoplanets and stars,NenuFAR booking
2024-12-15 18:00:00,2024-12-15 20:00:00,LT02 Exoplanets and stars,NenuFAR booking
2024-12-18 00:00:00,2024-12-18 06:00:00,LT02 Exoplanets and stars,NenuFAR booking
2024-12-19 22:00:00,2024-12-20 07:00:00,LT02 Exoplanets and stars,NenuFAR booking
2024-12-20 22:00:00,2024-12-21 07:00:00,LT02 Exoplanets and stars,NenuFAR booking
2024-12-21 22:00:00,2024-12-22 07:00:00,LT02 Exoplanets and stars,NenuFAR booking
2024-12-27 03:00:00,2024-12-27 06:00:00,LT02 Exoplanets and stars,NenuFAR booking
2024-12-28 03:00:00,2024-12-28 06:00:00,LT02 Exoplanets and stars,NenuFAR booking
2024-12-31 00:00:00,2024-12-31 03:00:00,LT02 Exoplanets and stars,NenuFAR booking
2025-01-03 00:00:00,2025-01-03 03:00:00,LT02 Exoplanets and stars,NenuFAR booking
