Target,Type,ActualStartTime,ActualEndTime
UPS AND,Exoplanet,2024-12-01 18:00:00,2024-12-02 00:00:00
UPS AND,Exoplanet,2024-12-03 18:00:00,2024-12-04 00:00:00
UPS AND,Exoplanet,2024-12-05 22:00:00,2024-12-06 00:00:00
UPS AND,Exoplanet,2024-12-07 17:00:00,2024-12-07 19:00:00
UPS AND,Exoplanet,2024-12-08 18:00:00,2024-12-08 20:00:00
UPS AND,Exoplanet,2024-12-09 18:00:00,2024-12-10 00:00:00
UPS AND,Exoplanet,2024-12-10 18:00:00,2024-12-10 20:00:00
UPS AND,Exoplanet,2024-12-11 18:00:00,2024-12-12 00:00:00
UPS AND,Exoplanet,2024-12-13 18:00:00,2024-12-13 21:00:00
UPS AND,Exoplanet,2024-12-14 18:00:00,2024-12-14 20:00:00
UPS AND,Exoplanet,2024-12-15 18:00:00,2024-12-15 20:00:00
LP 212-62,Star,2024-12-18 00:00:00,2024-12-18 06:00:00
HD 80606,Exoplanet,2024-12-19 22:00:00,2024-12-20 07:00:00
HD 80606,Exoplanet,2024-12-20 22:00:00,2024-12-21 07:00:00
HD 80606,Exoplanet,2024-12-21 22:00:00,2024-12-22 07:00:00
LP 212-62,Star,2024-12-27 03:00:00,2024-12-27 06:00:00
LP 212-62,Star,2024-12-28 03:00:00,2024-12-28 06:00:00
GJ 1151,Star,2024-12-31 00:00:00,2024-12-31 03:00:00
GJ 1151,Star,2025-01-03 00:00:00,2025-01-03 03:00:00
LP 212-62,Star,2025-01-06 00:00:00,2025-01-06 05:00:00
GJ 1151,Star,2025-01-09 00:00:00,2025-01-09 05:00:00
LP 212-62,Star,2025-01-11 00:00:00,2025-01-11 05:00:00
LP 212-62,Star,2025-01-15 00:00:00,2025-01-15 05:00:00
GJ 1151,Star,2025-01-20 00:00:00,2025-01-20 05:00:00
LP 212-62,Star,2025-01-22 00:00:00,2025-01-22 05:00:00
LP 212-62,Star,2025-01-25 00:00:00,2025-01-25 05:00:00
GJ 1151,Star,2025-01-29 01:00:00,2025-01-29 05:00:00
rho CrB b,Exoplanet,2025-01-30 04:00:00,2025-01-30 08:00:00
rho CrB b,Exoplanet,2025-02-04 04:00:00,2025-02-04 08:00:00
rho CrB b,Exoplanet,2025-02-06 04:00:00,2025-02-06 08:00:00
LP 212-62,Star,2025-02-07 22:00:00,2025-02-08 04:00:00
GJ 1151,Star,2025-02-10 00:00:00,2025-02-10 05:00:00
rho CrB b,Exoplanet,2025-02-12 04:00:00,2025-02-12 08:00:00
rho CrB b,Exoplanet,2025-02-14 04:00:00,2025-02-14 08:00:00
rho CrB b,Exoplanet,2025-02-20 03:00:00,2025-02-20 07:00:00
rho CrB b,Exoplanet,2025-02-23 03:00:00,2025-02-23 07:00:00
rho CrB b,Exoplanet,2025-02-26 03:00:00,2025-02-26 07:00:00
GJ 1151,Star,2025-03-01 23:00:00,2025-03-02 03:00:00
rho CrB b,Exoplanet,2025-03-02 03:00:00,2025-03-02 07:00:00
rho CrB b,Exoplanet,2025-03-07 03:00:00,2025-03-07 07:00:00
CR Dra,Star,2025-03-10 02:00:00,2025-03-10 06:00:00
CR Dra,Star,2025-03-15 02:00:00,2025-03-15 06:00:00
CR Dra,Star,2025-03-20 02:00:00,2025-03-20 06:00:00
GJ 1151,Star,2025-03-21 21:00:00,2025-03-22 04:00:00
CR Dra,Star,2025-03-26 01:00:00,2025-03-26 05:00:00
CR Dra,Star,2025-03-30 01:00:00,2025-03-30 05:00:00
CR Dra,Star,2025-04-04 01:00:00,2025-04-04 05:00:00
CR Dra,Star,2025-04-09 01:00:00,2025-04-09 05:00:00
HD 80606,Exoplanet,2025-04-10 20:00:00,2025-04-11 01:00:00
HD 80606,Exoplanet,2025-04-11 20:00:00,2025-04-12 01:00:00
CR Dra,Star,2025-04-13 00:00:00,2025-04-13 04:00:00
GJ 1151,Star,2025-04-16 21:00:00,2025-04-17 02:00:00
GJ 687 b,Exoplanet,2025-04-18 00:00:00,2025-04-18 04:00:00
CR Dra,Star,2025-04-19 00:00:00,2025-04-19 04:00:00
GJ 687 b,Exoplanet,2025-04-22 00:00:00,2025-04-22 04:00:00
CR Dra,Star,2025-04-24 00:00:00,2025-04-24 04:00:00
GJ 687 b,Exoplanet,2025-04-27 00:00:00,2025-04-27 04:00:00
GJ 687 b,Exoplanet,2025-04-29 23:00:00,2025-04-30 04:00:00
GJ 687 b,Exoplanet,2025-05-04 23:00:00,2025-05-05 03:00:00
GJ 687 b,Exoplanet,2025-05-07 23:00:00,2025-05-08 03:00:00
GJ 687 b,Exoplanet,2025-05-12 23:00:00,2025-05-13 03:00:00
GJ 687 b,Exoplanet,2025-05-17 23:00:00,2025-05-18 03:00:00
GJ 687 b,Exoplanet,2025-05-20 23:00:00,2025-05-21 03:00:00
GJ 687 b,Exoplanet,2025-05-24 23:00:00,2025-05-25 03:00:00
