Target,Type,StartTime,StopTime
UPS AND,Exoplanet,2024-12-01 18:00:00,2024-12-02 00:00:00
UPS AND,Exoplanet,2024-12-03 18:00:00,2024-12-04 00:00:00
UPS AND,Exoplanet,2024-12-05 18:00:00,2024-12-06 00:00:00
UPS AND,Exoplanet,2024-12-07 18:00:00,2024-12-08 00:00:00
UPS AND,Exoplanet,2024-12-09 18:00:00,2024-12-10 00:00:00
UPS AND,Exoplanet,2024-12-11 18:00:00,2024-12-12 00:00:00
UPS AND,Exoplanet,2024-12-13 18:00:00,2024-12-14 00:00:00
HD 80606,Exoplanet,2024-12-19 22:00:00,2024-12-20 07:00:00
HD 80606,Exoplanet,2024-12-20 22:00:00,2024-12-21 07:00:00
HD 80606,Exoplanet,2024-12-21 22:00:00,2024-12-22 07:00:00
HD 80606,Exoplanet,2025-04-10 20:00:00,2025-04-11 01:00:00
HD 80606,Exoplanet,2025-04-11 20:00:00,2025-04-12 01:00:00
LP 212-62,Star,2024-12-16 01:00:00,2024-12-16 06:00:00
LP 212-62,Star,2024-12-26 01:00:00,2024-12-26 06:00:00
LP 212-62,Star,2025-01-06 00:00:00,2025-01-06 05:00:00
LP 212-62,Star,2025-01-11 00:00:00,2025-01-11 05:00:00
LP 212-62,Star,2025-01-16 00:00:00,2025-01-16 05:00:00
LP 212-62,Star,2025-01-21 00:00:00,2025-01-21 05:00:00
LP 212-62,Star,2025-01-26 00:00:00,2025-01-26 05:00:00
LP 212-62,Star,2025-02-07 23:00:00,2025-02-08 04:00:00
GJ 1151,Star,2024-12-30 01:00:00,2024-12-30 06:00:00
GJ 1151,Star,2025-01-09 00:00:00,2025-01-09 05:00:00
GJ 1151,Star,2025-01-20 00:00:00,2025-01-20 05:00:00
GJ 1151,Star,2025-01-27 00:00:00,2025-01-27 05:00:00
GJ 1151,Star,2025-02-10 00:00:00,2025-02-10 05:00:00
GJ 1151,Star,2025-03-01 23:00:00,2025-03-02 04:00:00
GJ 1151,Star,2025-03-21 22:00:00,2025-03-22 03:00:00
GJ 1151,Star,2025-04-15 21:00:00,2025-04-16 02:00:00
rho CrB b,Exoplanet,2025-01-30 04:00:00,2025-01-30 08:00:00
rho CrB b,Exoplanet,2025-02-03 04:00:00,2025-02-03 08:00:00
rho CrB b,Exoplanet,2025-02-07 04:00:00,2025-02-07 08:00:00
rho CrB b,Exoplanet,2025-02-11 04:00:00,2025-02-11 08:00:00
rho CrB b,Exoplanet,2025-02-15 04:00:00,2025-02-15 08:00:00
rho CrB b,Exoplanet,2025-02-19 03:00:00,2025-02-19 07:00:00
rho CrB b,Exoplanet,2025-02-23 03:00:00,2025-02-23 07:00:00
rho CrB b,Exoplanet,2025-02-27 03:00:00,2025-02-27 07:00:00
rho CrB b,Exoplanet,2025-03-03 03:00:00,2025-03-03 07:00:00
rho CrB b,Exoplanet,2025-03-07 03:00:00,2025-03-07 07:00:00
CR Dra,Star,2025-03-10 02:00:00,2025-03-10 06:00:00
CR Dra,Star,2025-03-15 02:00:00,2025-03-15 06:00:00
CR Dra,Star,2025-03-20 02:00:00,2025-03-20 06:00:00
CR Dra,Star,2025-03-25 01:00:00,2025-03-25 05:00:00
CR Dra,Star,2025-03-30 01:00:00,2025-03-30 05:00:00
CR Dra,Star,2025-04-04 01:00:00,2025-04-04 05:00:00
CR Dra,Star,2025-04-09 01:00:00,2025-04-09 05:00:00
CR Dra,Star,2025-04-14 00:00:00,2025-04-14 04:00:00
CR Dra,Star,2025-04-19 00:00:00,2025-04-19 04:00:00
CR Dra,Star,2025-04-24 00:00:00,2025-04-24 04:00:00
GJ 687 b,Exoplanet,2025-04-18 00:00:00,2025-04-18 04:00:00
GJ 687 b,Exoplanet,2025-04-23 00:00:00,2025-04-23 04:00:00
GJ 687 b,Exoplanet,2025-04-27 00:00:00,2025-04-27 04:00:00
GJ 687 b,Exoplanet,2025-05-01 00:00:00,2025-05-01 04:00:00
GJ 687 b,Exoplanet,2025-05-04 23:00:00,2025-05-05 03:00:00
GJ 687 b,Exoplanet,2025-05-08 23:00:00,2025-05-09 03:00:00
GJ 687 b,Exoplanet,2025-05-12 23:00:00,2025-05-13 03:00:00
GJ 687 b,Exoplanet,2025-05-16 23:00:00,2025-05-17 03:00:00
GJ 687 b,Exoplanet,2025-05-20 23:00:00,2025-05-21 03:00:00
GJ 687 b,Exoplanet,2025-05-24 23:00:00,2025-05-25 03:00:00
